time,open,high,low,close,volume
2025-10-08 22:18:00,229.1,229.1,229.09,229.09,25.08794919
2025-10-08 22:19:00,228.96,229.03,228.96,229.03,6.91448
2025-10-08 22:20:00,229.04,229.23,229.04,229.23,809.88412026
2025-10-08 22:21:00,229.29,229.6,229.29,229.48,443.60225355
2025-10-08 22:22:00,229.47,229.62,229.42,229.62,32.6354153
2025-10-08 22:23:00,229.63,229.65,229.63,229.64,171.19215508
2025-10-08 22:24:00,229.61,229.61,229.23,229.29,159.42031837
2025-10-08 22:25:00,229.29,229.29,229.13,229.13,9.75239338
2025-10-08 22:26:00,229.14,229.18,229.13,229.18,0.91687
2025-10-08 22:27:00,229.18,229.18,229.17,229.17,22.58195229
2025-10-08 22:28:00,229.18,229.18,229.17,229.18,4.3855332
2025-10-08 22:29:00,229.17,229.24,229.13,229.13,78.51559179
2025-10-08 22:30:00,229.21,229.24,229.14,229.17,23.18809122
2025-10-08 22:31:00,229.18,229.18,229.17,229.18,175.11697573
2025-10-08 22:32:00,229.18,229.2,229.17,229.2,5.54058858
2025-10-08 22:33:00,229.19,229.2,229.19,229.19,17.63500196
2025-10-08 22:34:00,229.19,229.21,229.19,229.21,226.16685586
2025-10-08 22:35:00,229.2,229.25,229.19,229.25,10.43470317
2025-10-08 22:36:00,229.25,229.25,229.24,229.24,52.56460021
2025-10-08 22:37:00,229.24,229.24,229.24,229.24,3.36684
2025-10-08 22:38:00,229.3,229.3,229.29,229.29,2.86743438
2025-10-08 22:39:00,229.3,229.3,229.27,229.27,3.32165356
2025-10-08 22:40:00,229.25,229.25,229.16,229.16,191.18542697
2025-10-08 22:41:00,229.13,229.13,228.96,228.97,490.67015046
2025-10-08 22:42:00,229.04,229.05,229.01,229.01,24.07406951
2025-10-08 22:43:00,229.02,229.02,229.01,229.02,2.23181
2025-10-08 22:44:00,229.02,229.02,229.01,229.01,1.21764188
2025-10-08 22:45:00,229.1,229.1,229.02,229.02,165.16153071
2025-10-08 22:46:00,229.03,229.18,229.03,229.17,37.88546951
2025-10-08 22:47:00,229.1,229.1,229.0,229.01,38.29406651
2025-10-08 22:48:00,229.01,229.01,229.0,229.01,58.18226463
2025-10-08 22:49:00,229.01,229.02,229.0,229.01,9.67069155
